ジャンル名,売上指数（千円）,シェア,商品ランク入り数
矯正グッズ,332605,38.56%,29875
安眠グッズ,215177,24.95%,19483
その他,159487,18.49%,6015
カイロ,112685,13.06%,15451
健康サンダル・スリッパ,22019,2.55%,2500
冷却グッズ・暑さ対策用品,9177,1.06%,2238
禁煙グッズ,6362,0.74%,1109
健康シューズ,5037,0.58%,337
