ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,130784,23.49%,11379
火災警報器・ガス警報器,100808,18.10%,5133
その他,44402,7.97%,3983
簡易トイレ,41629,7.48%,2202
防災セット・非常用持ちだし袋,39688,7.13%,1661
消火器,35114,6.31%,2166
懐中電灯,29201,5.24%,4671
保存水,20265,3.64%,1041
家具転倒防止用品,17055,3.06%,3255
携帯用浄水器,16325,2.93%,538
防災ラジオ,11166,2.01%,737
メガホン・拡声器,10535,1.89%,784
固形燃料,10443,1.88%,939
応急手当用品,7870,1.41%,1047
避難はしご,6204,1.11%,394
土嚢,5926,1.06%,393
携帯トイレ,5610,1.01%,879
簡易毛布・寝袋,5211,0.94%,941
給水用品,4576,0.82%,841
防災ヘルメット,3882,0.70%,453
ガソリン缶,2921,0.52%,333
発熱・加熱剤,1535,0.28%,318
担架,1438,0.26%,80
防災頭巾,1386,0.25%,289
笛・ホイッスル,1360,0.24%,466
防災用ストーブ,890,0.16%,21
放射能測定器・ガイガーカウンター,588,0.11%,29
