ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,32020,15.19%,24425
リボン,23539,11.17%,19654
手芸用テープ,17912,8.50%,13030
その他,17520,8.31%,9375
ひも,16220,7.69%,9955
ボタン,14368,6.82%,12970
ファスナー,14357,6.81%,9434
ミシン糸,12543,5.95%,7483
レース,11181,5.30%,11585
接着テープ・接着芯,8095,3.84%,3671
持ち手・ハンドル,5041,2.39%,2373
口金,4762,2.26%,2696
ゴム,4721,2.24%,3433
ホック,4526,2.15%,2709
面ファスナー,3668,1.74%,1384
芯地,3538,1.68%,1313
手縫い糸,3333,1.58%,3112
ネームシール,3111,1.48%,1423
型紙・パターン,2451,1.16%,1908
ブレード,2281,1.08%,1795
バックル,2255,1.07%,2122
チェーン,1175,0.56%,984
スパンコール,1043,0.49%,1312
裏地,688,0.33%,419
マラボー,289,0.14%,160
肩パット,158,0.07%,172
