ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,128870,22.37%,10699
火災警報器・ガス警報器,104605,18.16%,5304
防災セット・非常用持ちだし袋,48701,8.46%,1914
その他,46457,8.07%,3898
消火器,35863,6.23%,2038
簡易トイレ,33287,5.78%,2235
懐中電灯,32760,5.69%,4692
携帯用浄水器,25465,4.42%,636
家具転倒防止用品,19433,3.37%,3543
保存水,16163,2.81%,956
防災ラジオ,12352,2.14%,820
メガホン・拡声器,11038,1.92%,688
固形燃料,9918,1.72%,952
応急手当用品,7442,1.29%,965
避難はしご,6399,1.11%,368
簡易毛布・寝袋,6097,1.06%,997
土嚢,5724,0.99%,297
給水用品,5039,0.87%,775
携帯トイレ,4857,0.84%,846
防災ヘルメット,4763,0.83%,471
ガソリン缶,2717,0.47%,327
防災頭巾,2054,0.36%,429
発熱・加熱剤,1759,0.31%,348
担架,1587,0.28%,68
防災用ストーブ,1231,0.21%,24
笛・ホイッスル,966,0.17%,369
放射能測定器・ガイガーカウンター,453,0.08%,22
