ジャンル名,売上指数（千円）,シェア,商品ランク入り数
両面テープ,10886,27.35%,3833
ボンド,8166,20.51%,2536
のり,6709,16.85%,4250
セロハンテープ,3603,9.05%,1947
テープカッター台,3570,8.97%,1593
瞬間接着剤,3292,8.27%,1393
その他,3249,8.16%,1641
接着はがし液,335,0.84%,169
