ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,432873,32.09%,9541
入浴剤,251744,18.66%,26691
ソープボトル・シャンプーボトル,84806,6.29%,7609
バスマット,82593,6.12%,8773
その他,81416,6.04%,9102
整理棚・ラック,77315,5.73%,8019
風呂ふた,67105,4.97%,3873
椅子,53630,3.98%,4579
タオルハンガー,43978,3.26%,5356
自動ソープディスペンサー,38534,2.86%,1968
サウナハット,21487,1.59%,1998
ボディタオル,20944,1.55%,5894
浴槽・浴室内マット,15362,1.14%,1685
石けんケース・石けん台,14453,1.07%,2884
洗面器・風呂桶,13091,0.97%,2276
バス保温器,11735,0.87%,330
ボディブラシ,8968,0.66%,1399
ボディスポンジ,8536,0.63%,1857
シャワーヘッドホルダー・シャワーフック,6261,0.46%,1273
セット,5428,0.40%,606
シャワーカーテン,4108,0.30%,1008
バスピロー,1843,0.14%,335
泡立てネット,1252,0.09%,405
バスブーツ,794,0.06%,189
軽石,652,0.05%,264
