ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スケッチブック,3491,26.04%,1620
その他,2336,17.42%,1081
和紙,2236,16.68%,953
色画用紙,1836,13.69%,1300
画用紙,1567,11.69%,529
水彩紙,1121,8.36%,246
ケント紙,657,4.90%,193
版画用紙,125,0.93%,24
パステル紙,38,0.28%,11
