ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ゴルゴンゾーラ,1524,61.65%,300
その他,692,27.99%,155
ロックフォール,137,5.54%,35
フルムダンベール,84,3.39%,13
スティルトン,35,1.42%,12
