ジャンル名,売上指数（千円）,シェア,商品ランク入り数
油,287631,16.09%,27626
砂糖・甘味料,278632,15.59%,16292
だし,245335,13.72%,24359
しお,121654,6.80%,19256
酢,101449,5.67%,12703
ソース・たれ,91291,5.11%,23142
しょうゆ,89286,4.99%,21191
スパイス,88618,4.96%,26640
ふりかけ,62714,3.51%,13588
みそ,48174,2.69%,14409
その他,48169,2.69%,8883
セット・詰め合わせ,41791,2.34%,3816
ドレッシング,39427,2.21%,10937
めんつゆ,34467,1.93%,8064
麹,30432,1.70%,3669
料理の素,28447,1.59%,8897
みりん,20379,1.14%,2816
中華調味料,20109,1.12%,6051
ミックススパイス・混合調味料,19223,1.08%,6309
ポン酢,15869,0.89%,4583
アジアン・エスニック調味料,10680,0.60%,2703
からし・マスタード,9926,0.56%,1717
マヨネーズ,9413,0.53%,2478
韓国調味料,8053,0.45%,3194
料理酒,6661,0.37%,1127
ケチャップ,6170,0.35%,1952
わさび,5450,0.30%,1625
ハーブ,5077,0.28%,3017
酒粕,4532,0.25%,923
ラーメンスープ,3570,0.20%,1409
ラード,3136,0.18%,205
生わさび,2001,0.11%,454
