ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,456126,28.84%,10347
入浴剤,236138,14.93%,25356
バスマット,129924,8.22%,10688
ソープボトル・シャンプーボトル,112188,7.09%,8478
整理棚・ラック,91849,5.81%,9067
その他,83846,5.30%,10156
椅子,78532,4.97%,5731
風呂ふた,76975,4.87%,4195
タオルハンガー,56257,3.56%,6076
自動ソープディスペンサー,50871,3.22%,2291
ボディタオル,35762,2.26%,7608
石けんケース・石けん台,31512,1.99%,3603
サウナハット,23960,1.52%,2033
浴槽・浴室内マット,23512,1.49%,1978
ボディブラシ,21233,1.34%,1768
セット,16990,1.07%,799
洗面器・風呂桶,13624,0.86%,2559
ボディスポンジ,13157,0.83%,2248
バス保温器,10259,0.65%,317
シャワーヘッドホルダー・シャワーフック,7974,0.50%,1456
シャワーカーテン,5356,0.34%,1103
バスピロー,1979,0.13%,353
泡立てネット,1460,0.09%,465
バスブーツ,1218,0.08%,230
軽石,701,0.04%,264
