ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ラップ,54168,30.23%,8085
キッチンペーパー,49855,27.82%,6799
その他,40972,22.86%,4770
フリーザーバック,14992,8.37%,4835
アルミホイル・アルミ箔,6250,3.49%,1930
クッキングシート,5642,3.15%,1608
油処理剤,4217,2.35%,858
脱臭剤,1905,1.06%,822
飲料水・炊飯用炭,598,0.33%,159
天ぷら敷紙・天紙,314,0.18%,205
保鮮紙,283,0.16%,150
