ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1375241,22.02%,38723
その他,1150242,18.41%,31000
植物性エキス,621309,9.95%,47033
ファイトケミカル,566682,9.07%,13649
ビタミン,490363,7.85%,38014
アミノ酸,472171,7.56%,23477
ミネラル,213734,3.42%,22419
プロバイオティクス,212345,3.40%,11872
酵素,190473,3.05%,11794
コラーゲン,181247,2.90%,10897
脂肪酸・オイル,173966,2.78%,10559
プラセンタ,102744,1.64%,4060
ビタミン・ミネラル混合,84795,1.36%,2370
食物繊維,82642,1.32%,7158
グルコサミン・コンドロイチン,70318,1.13%,4704
動物性エキス,65034,1.04%,4507
クエン酸,36355,0.58%,3023
オリゴ糖,28273,0.45%,2325
プロポリス,25777,0.41%,2809
ラクトフェリン,25578,0.41%,981
ローヤルゼリー,20972,0.34%,1227
ヒアルロン酸,18110,0.29%,1458
ミドリムシ,17672,0.28%,919
動植物性混合エキス,15711,0.25%,1360
核酸,5047,0.08%,337
