ジャンル名,売上指数（千円）,シェア,商品ランク入り数
たけのこ,8432,20.39%,764
その他,8046,19.46%,1918
山芋・自然薯,5678,13.73%,776
菊芋,4087,9.88%,654
ブロッコリー,2858,6.91%,587
れんこん,2325,5.62%,576
行者にんにく,2143,5.18%,254
カリフラワー,1637,3.96%,266
ゴーヤー,1404,3.40%,286
明日葉,853,2.06%,137
オクラ,702,1.70%,226
小松菜,685,1.66%,322
ピーマン,595,1.44%,273
セロリ,463,1.12%,169
銀杏,415,1.00%,148
大葉・しそ,320,0.77%,184
ヤーコン,223,0.54%,114
エシャロット,118,0.28%,114
パクチー・コリアンダー,108,0.26%,131
パセリ,87,0.21%,151
かぶ,74,0.18%,113
春菊,51,0.12%,115
水菜,26,0.06%,115
ルッコラ,21,0.05%,134
