ジャンル名,売上指数（千円）,シェア,商品ランク入り数
貼るタイプ（粘着剤付）,22094,56.52%,3102
レギュラータイプ（粘着剤なし）,6606,16.90%,1331
その他,5559,14.22%,1178
靴・靴下用タイプ,4783,12.23%,965
座布団タイプ,51,0.13%,20
