ジャンル名,売上指数（千円）,シェア,商品ランク入り数
だし,355469,19.22%,30736
油,288679,15.61%,28100
砂糖・甘味料,120077,6.49%,14662
しょうゆ,115969,6.27%,24121
しお,102827,5.56%,17710
スパイス,100952,5.46%,27366
セット・詰め合わせ,97244,5.26%,5482
ソース・たれ,81456,4.40%,22417
酢,77434,4.19%,10114
みそ,72210,3.90%,17621
ふりかけ,62975,3.40%,13795
料理の素,50978,2.76%,12698
その他,45742,2.47%,9532
ドレッシング,39641,2.14%,9661
麹,34899,1.89%,3777
めんつゆ,29092,1.57%,7108
みりん,24717,1.34%,3108
ポン酢,24374,1.32%,5819
ミックススパイス・混合調味料,23142,1.25%,6326
中華調味料,20739,1.12%,5972
韓国調味料,12008,0.65%,3599
酒粕,10652,0.58%,1869
アジアン・エスニック調味料,9506,0.51%,2482
マヨネーズ,9360,0.51%,2546
ハーブ,8300,0.45%,3532
料理酒,6782,0.37%,1101
わさび,6368,0.34%,2036
ケチャップ,5657,0.31%,1949
ラーメンスープ,4577,0.25%,1605
からし・マスタード,3440,0.19%,1668
生わさび,2292,0.12%,464
ラード,2180,0.12%,227
