ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,12696,32.86%,3767
セット・詰め合わせ,11269,29.17%,1878
和風ドレッシング,7959,20.60%,2433
ごまドレッシング,2886,7.47%,1322
イタリアンドレッシング,1714,4.44%,633
フレンチドレッシング,1344,3.48%,480
中華ドレッシング,507,1.31%,166
梅ドレッシング,176,0.46%,89
かぼすドレッシング,88,0.23%,44
