ジャンル名,売上指数（千円）,シェア,商品ランク入り数
お茶・紅茶,1593957,23.99%,164639
コーヒー,1579679,23.77%,104192
水・炭酸水,1348138,20.29%,30000
炭酸飲料,766924,11.54%,29084
野菜・果実飲料,615729,9.27%,30000
スポーツドリンク,172142,2.59%,13836
植物性ミルク,107887,1.62%,12604
乳酸菌飲料,97482,1.47%,9459
お酢飲料,97367,1.47%,9524
甘酒,67510,1.02%,6869
その他,57864,0.87%,5504
希釈用ドリンク,39362,0.59%,5702
スムージー,29251,0.44%,1725
ゼリー飲料,27580,0.42%,4284
牛乳,17076,0.26%,2575
ココア・チョコレートドリンク,15229,0.23%,3186
フルーツ入り乳飲料,4723,0.07%,662
生姜湯,4237,0.06%,699
柚子茶,3141,0.05%,277
