ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,30059,57.06%,7312
セット・詰め合わせ,12811,24.32%,3007
おかか,3846,7.30%,1049
しそ,2603,4.94%,1120
のりたま,1391,2.64%,622
ちりめんじゃこ,1077,2.05%,305
さけ,701,1.33%,266
たらこ,192,0.37%,136
