ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,176672,28.65%,29324
その他,163178,26.46%,15303
モップ,76813,12.46%,5319
雑巾・テーブルダスター,30764,4.99%,5035
ほうき,26508,4.30%,4122
フローリングワックス,25511,4.14%,2431
ガラス・サッシ掃除用具,20600,3.34%,3407
フロアワイパー・ダスター取替シート,20277,3.29%,2987
使い捨てクロス,18261,2.96%,2254
フロアワイパー・ダスター本体,15315,2.48%,3460
粘着式クリーナー,13119,2.13%,2921
バケツ,12171,1.97%,2593
トイレポット,7352,1.19%,1033
はたき,3818,0.62%,834
スプレーボトル,2574,0.42%,1024
ちりとり,2560,0.42%,711
モップ絞り器,630,0.10%,125
ラバーカップ,505,0.08%,115
