ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,512060,28.43%,10085
入浴剤,387217,21.50%,27147
整理棚・ラック,127612,7.08%,8962
バスマット,120751,6.70%,8793
ソープボトル・シャンプーボトル,111402,6.18%,7818
風呂ふた,84732,4.70%,3846
椅子,84458,4.69%,4582
その他,73068,4.06%,9382
タオルハンガー,63032,3.50%,5214
自動ソープディスペンサー,60722,3.37%,1900
サウナハット,32094,1.78%,1605
ボディタオル,25393,1.41%,5592
洗面器・風呂桶,23466,1.30%,2182
浴槽・浴室内マット,19233,1.07%,1598
石けんケース・石けん台,12797,0.71%,2575
ボディスポンジ,12513,0.69%,1940
バス保温器,11743,0.65%,274
セット,11497,0.64%,859
ボディブラシ,7898,0.44%,1336
シャワーヘッドホルダー・シャワーフック,7728,0.43%,946
シャワーカーテン,4874,0.27%,1015
バスピロー,3242,0.18%,369
バスブーツ,1623,0.09%,245
泡立てネット,1365,0.08%,429
軽石,852,0.05%,292
