ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,61322,27.74%,9152
こめ油,38481,17.41%,2721
その他,21131,9.56%,3126
ココナッツオイル,20294,9.18%,2196
ごま油,18827,8.52%,3050
サラダ油,12652,5.72%,624
セット・詰め合わせ,11440,5.18%,1643
亜麻仁油,11095,5.02%,1395
えごま油,8526,3.86%,1443
なたね油・キャノーラ油,7712,3.49%,1424
グレープシードオイル,3677,1.66%,201
大豆油,2682,1.21%,134
トリュフオイル,779,0.35%,167
椿油,731,0.33%,162
ひまわり油,411,0.19%,172
べに花油,406,0.18%,163
アボカドオイル,401,0.18%,136
コーン油,332,0.15%,92
玄米油,88,0.04%,114
ピーナッツオイル,26,0.01%,101
マスタードオイル,15,0.01%,93
