ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,223421,32.88%,31356
その他,128294,18.88%,15700
モップ,56257,8.28%,5545
フローリングワックス,38215,5.62%,2627
ガラス・サッシ掃除用具,35109,5.17%,4821
雑巾・テーブルダスター,34568,5.09%,4899
ほうき,30092,4.43%,4103
フロアワイパー・ダスター本体,28987,4.27%,4041
フロアワイパー・ダスター取替シート,21150,3.11%,3260
粘着式クリーナー,18308,2.69%,3160
使い捨てクロス,17750,2.61%,2316
バケツ,17051,2.51%,2258
はたき,12535,1.84%,1141
トイレポット,7631,1.12%,903
スプレーボトル,4437,0.65%,1015
ちりとり,3146,0.46%,734
ラバーカップ,1584,0.23%,278
モップ絞り器,913,0.13%,107
