ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,365922,25.22%,10252
入浴剤,305304,21.04%,27805
バスマット,102962,7.10%,9896
ソープボトル・シャンプーボトル,96613,6.66%,8095
風呂ふた,93202,6.42%,6015
整理棚・ラック,88618,6.11%,8676
その他,74516,5.14%,10174
椅子,73131,5.04%,5118
自動ソープディスペンサー,52136,3.59%,2181
タオルハンガー,49239,3.39%,5635
サウナハット,25009,1.72%,1891
ボディタオル,23485,1.62%,6200
浴槽・浴室内マット,17706,1.22%,1951
バス保温器,17053,1.18%,455
洗面器・風呂桶,15174,1.05%,2562
石けんケース・石けん台,9563,0.66%,2566
ボディスポンジ,9142,0.63%,1980
セット,8897,0.61%,736
ボディブラシ,6830,0.47%,1266
シャワーヘッドホルダー・シャワーフック,6721,0.46%,1120
シャワーカーテン,4255,0.29%,1156
バスピロー,2457,0.17%,423
泡立てネット,1248,0.09%,454
バスブーツ,935,0.06%,220
軽石,757,0.05%,293
