ジャンル名,売上指数（千円）,シェア,商品ランク入り数
水産物加工品,99217,50.73%,12057
肉加工品,38167,19.51%,2982
セット・詰め合わせ,22803,11.66%,1922
フルーツ・果物,12522,6.40%,2509
野菜・きのこ,12013,6.14%,2228
惣菜,10875,5.56%,1632
