ジャンル名,売上指数（千円）,シェア,商品ランク入り数
さくらんぼ,248193,16.34%,6281
メロン,204438,13.46%,9370
桃,162790,10.72%,8411
マンゴー,125383,8.25%,5187
梅,122296,8.05%,3957
みかん,110904,7.30%,7186
ブドウ,91699,6.04%,4583
セット・詰め合わせ,84989,5.59%,4475
スイカ,71243,4.69%,5006
りんご,54685,3.60%,3215
ブルーベリー,32436,2.14%,1654
和梨,24834,1.63%,1671
その他,24521,1.61%,3008
レモン,23692,1.56%,2665
ライチ,23054,1.52%,964
パイナップル,14538,0.96%,1585
いちご,10661,0.70%,1417
びわ,10622,0.70%,632
あんず,10454,0.69%,669
プラム,9066,0.60%,909
柿,8497,0.56%,852
オレンジ,7533,0.50%,850
キウイフルーツ,6021,0.40%,699
ザクロ,5043,0.33%,488
パッションフルーツ,4350,0.29%,405
栗,4206,0.28%,523
バナナ,3907,0.26%,564
グレープフルーツ,3564,0.23%,501
すだち,3143,0.21%,398
ドリアン,2109,0.14%,228
イチジク,1703,0.11%,287
マンゴスチン,1599,0.11%,113
ドラゴンフルーツ,1529,0.10%,207
アボカド,1382,0.09%,331
パパイヤ,1122,0.07%,196
ゆず,978,0.06%,193
洋梨,850,0.06%,132
じゃばら,693,0.05%,99
ミラクルフルーツ,170,0.01%,23
かぼす,138,0.01%,21
