ジャンル名,売上指数（千円）,シェア,商品ランク入り数
セット・詰め合わせ,286207,15.88%,11484
加工品,273278,15.17%,22438
サバ,171157,9.50%,3717
貝類,164906,9.15%,13862
カニ,139854,7.76%,5968
魚卵,124196,6.89%,11272
イカ,95926,5.32%,9914
エビ,91021,5.05%,6619
マグロ,89329,4.96%,5028
サケ,85675,4.75%,7735
海藻類,55946,3.10%,9916
ウニ,49311,2.74%,2721
その他水産物,47962,2.66%,8210
カツオ,21597,1.20%,1994
フグ,20359,1.13%,1509
タイ,14829,0.82%,1883
その他,12047,0.67%,1573
アジ,11484,0.64%,1384
イワシ,10846,0.60%,2372
ブリ,7997,0.44%,501
タコ,7529,0.42%,1370
ホッケ,6758,0.38%,870
タラ,4673,0.26%,990
生ちりめん・生しらす,4269,0.24%,645
サンマ,3528,0.20%,430
シシャモ,1230,0.07%,309
