ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,54566,50.45%,6424
人工甘味料,21255,19.65%,1617
黒砂糖,10001,9.25%,2433
グラニュー糖,6880,6.36%,1094
オリゴ糖,5449,5.04%,616
上白糖,3261,3.02%,516
ざら糖,1687,1.56%,446
角砂糖,1651,1.53%,526
和三盆,1028,0.95%,181
ガムシロップ,852,0.79%,201
氷砂糖,843,0.78%,236
三温糖,567,0.52%,141
セット・詰め合わせ,125,0.12%,27
