ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,8131,25.24%,1914
山芋・自然薯,5183,16.09%,726
菊芋,4258,13.22%,578
たけのこ,3501,10.87%,567
ブロッコリー,2829,8.78%,558
れんこん,1380,4.28%,394
カリフラワー,1257,3.90%,224
行者にんにく,1116,3.47%,191
大葉・しそ,852,2.65%,225
明日葉,729,2.26%,114
ゴーヤー,637,1.98%,183
オクラ,498,1.55%,199
小松菜,426,1.32%,246
セロリ,369,1.14%,151
ピーマン,348,1.08%,215
銀杏,201,0.62%,131
ヤーコン,182,0.57%,106
エシャロット,84,0.26%,113
パセリ,70,0.22%,156
パクチー・コリアンダー,53,0.17%,157
かぶ,44,0.14%,130
春菊,33,0.10%,105
水菜,29,0.09%,123
ルッコラ,4,0.01%,96
