ジャンル名,売上指数（千円）,シェア,商品ランク入り数
バラ・カルビ,68386,35.30%,4426
セット・詰め合わせ,46345,23.92%,3264
その他,31283,16.15%,4529
ロース,31083,16.04%,4625
ホルモン,6992,3.61%,1424
モモ,4610,2.38%,784
豚足,1970,1.02%,624
タン,834,0.43%,282
ヒレ,679,0.35%,210
ミミ,517,0.27%,238
カシラ,360,0.19%,132
レバー,285,0.15%,150
ガツ,196,0.10%,113
コブクロ,124,0.06%,68
ハツ,68,0.04%,46
