ジャンル名,売上指数（千円）,シェア,商品ランク入り数
手帳・ノート・紙製品,676026,27.79%,161352
筆記具,617882,25.40%,152419
ギフトラッピング用品,160116,6.58%,73620
ファイル・バインダー,113889,4.68%,31791
画材,110067,4.53%,27374
ラベル・ステッカー,100803,4.14%,37635
机上収納・整理用品,91964,3.78%,16579
写真整理用品,80323,3.30%,12173
プレゼンテーション用品,78450,3.23%,8988
その他,75913,3.12%,19211
はさみ・裁断用品,57525,2.37%,10965
書道用具,52567,2.16%,11773
セロハンテープ・のり・接着剤,51328,2.11%,16666
ブックカバー,31633,1.30%,6752
クリップ・結束用具,22493,0.92%,8912
製図用品,18960,0.78%,6890
紙幣計数機・コインカウンタ,15775,0.65%,465
マグネットシート,13584,0.56%,1505
名札,13493,0.55%,4115
ホッチキス・穴あきパンチ,13320,0.55%,4208
マグネット,9415,0.39%,4099
ブックマーク・しおり,6166,0.25%,2103
画鋲・ピン,5204,0.21%,1264
チェックライター・ナンバーリング,4161,0.17%,592
製本機,3442,0.14%,754
下敷き,3233,0.13%,1943
紙めくり・事務用スポンジ,2674,0.11%,1396
タスキ・腕章,1084,0.04%,205
レタースケール,821,0.03%,115
