ジャンル名,売上指数（千円）,シェア,商品ランク入り数
牛丼,238057,91.29%,2890
その他,14260,5.47%,1252
親子丼,3996,1.53%,357
豚丼,3576,1.37%,444
カツ丼,886,0.34%,158
