ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,511381,26.40%,148277
手帳・ノート・紙製品,452810,23.38%,165809
その他,161563,8.34%,26506
ギフトラッピング用品,116822,6.03%,71967
画材,88154,4.55%,28660
ファイル・バインダー,85934,4.44%,31565
写真整理用品,85847,4.43%,13969
机上収納・整理用品,74135,3.83%,16288
プレゼンテーション用品,66992,3.46%,9322
ラベル・ステッカー,66772,3.45%,35696
書道用具,41309,2.13%,12330
はさみ・裁断用品,39480,2.04%,10544
セロハンテープ・のり・接着剤,36504,1.88%,16292
ブックカバー,24452,1.26%,7008
製図用品,13901,0.72%,7055
クリップ・結束用具,12965,0.67%,8804
ホッチキス・穴あきパンチ,10121,0.52%,4281
名札,9712,0.50%,3811
マグネット,7163,0.37%,4090
マグネットシート,6863,0.35%,1352
紙幣計数機・コインカウンタ,5726,0.30%,337
画鋲・ピン,4459,0.23%,1563
製本機,4066,0.21%,1206
ブックマーク・しおり,2318,0.12%,1585
チェックライター・ナンバーリング,2286,0.12%,310
下敷き,1920,0.10%,1830
紙めくり・事務用スポンジ,1764,0.09%,1558
タスキ・腕章,863,0.04%,229
レタースケール,555,0.03%,151
