ジャンル名,売上指数（千円）,シェア,商品ランク入り数
茶葉・ティーバッグ,818185,52.72%,103924
お茶飲料,708935,45.68%,49625
その他,18047,1.16%,3729
昆布茶,6891,0.44%,1875
