ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,7342,24.56%,1929
山芋・自然薯,6369,21.31%,810
菊芋,3547,11.87%,542
ブロッコリー,2962,9.91%,654
たけのこ,2234,7.47%,302
れんこん,1662,5.56%,500
カリフラワー,1294,4.33%,183
ゴーヤー,721,2.41%,137
行者にんにく,669,2.24%,89
明日葉,591,1.98%,83
小松菜,434,1.45%,256
オクラ,411,1.38%,176
ピーマン,359,1.20%,194
セロリ,277,0.93%,106
銀杏,191,0.64%,61
エシャロット,188,0.63%,44
かぶ,180,0.60%,87
大葉・しそ,111,0.37%,85
ヤーコン,104,0.35%,23
パセリ,93,0.31%,62
春菊,64,0.21%,51
パクチー・コリアンダー,55,0.18%,33
水菜,27,0.09%,29
ルッコラ,7,0.02%,7
