ジャンル名,売上指数（千円）,シェア,商品ランク入り数
サバ,290197,15.24%,4298
加工品,199049,10.45%,21611
貝類,198074,10.40%,14072
サケ,194466,10.21%,8483
セット・詰め合わせ,142320,7.47%,9444
カニ,141047,7.41%,6521
魚卵,122258,6.42%,10633
エビ,117916,6.19%,6749
マグロ,97911,5.14%,5002
イカ,94858,4.98%,10849
海藻類,66289,3.48%,10659
その他水産物,45950,2.41%,6542
ウニ,34780,1.83%,2008
アジ,29104,1.53%,1488
ホッケ,23805,1.25%,878
カツオ,18445,0.97%,1876
タイ,15157,0.80%,1837
フグ,13160,0.69%,1249
イワシ,10193,0.54%,2699
タコ,10088,0.53%,1534
ブリ,9788,0.51%,611
その他,9380,0.49%,1607
タラ,7579,0.40%,1020
シシャモ,6495,0.34%,422
サンマ,3344,0.18%,399
生ちりめん・生しらす,2626,0.14%,548
