ジャンル名,売上指数（千円）,シェア,商品ランク入り数
だし,197775,17.11%,22859
油,181834,15.73%,23978
しお,83369,7.21%,16113
砂糖・甘味料,79988,6.92%,13176
しょうゆ,70803,6.12%,18605
スパイス,65727,5.69%,23811
ソース・たれ,55605,4.81%,20296
酢,54665,4.73%,9027
みそ,44507,3.85%,14812
その他,36319,3.14%,8280
ふりかけ,35394,3.06%,11428
ミックススパイス・混合調味料,34359,2.97%,6353
セット・詰め合わせ,31840,2.75%,2889
料理の素,30597,2.65%,10544
ドレッシング,24112,2.09%,8295
めんつゆ,16951,1.47%,4886
麹,16883,1.46%,2698
中華調味料,15642,1.35%,5853
みりん,15473,1.34%,2510
ポン酢,14179,1.23%,4594
アジアン・エスニック調味料,6853,0.59%,2113
マヨネーズ,5948,0.51%,2354
韓国調味料,5924,0.51%,2934
酒粕,4631,0.40%,956
ケチャップ,4593,0.40%,1970
料理酒,4368,0.38%,958
わさび,4067,0.35%,1476
ハーブ,4023,0.35%,2894
からし・マスタード,3120,0.27%,1571
ラーメンスープ,2871,0.25%,1112
ラード,2199,0.19%,203
生わさび,1508,0.13%,375
