ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ビフィズス菌,62108,39.77%,0
その他,61413,39.32%,3802
L-92乳酸菌,6956,4.45%,466
マルチプロバイオティック,6877,4.40%,394
フェカリス菌,6048,3.87%,433
KW乳酸菌,5838,3.74%,0
アシドフィルス菌,2772,1.77%,466
ケフィア,2243,1.44%,346
ラブレ菌,1921,1.23%,189
