ジャンル名,売上指数（千円）,シェア,商品ランク入り数
油,210067,16.19%,23212
だし,195560,15.08%,23231
しお,101984,7.86%,17979
砂糖・甘味料,84278,6.50%,13498
しょうゆ,78166,6.03%,19847
酢,73035,5.63%,10316
スパイス,70178,5.41%,23102
ソース・たれ,67164,5.18%,21640
ふりかけ,48426,3.73%,12608
みそ,42592,3.28%,12940
セット・詰め合わせ,41290,3.18%,3330
その他,39086,3.01%,8180
めんつゆ,36022,2.78%,8513
麹,29525,2.28%,3810
ドレッシング,27517,2.12%,9148
料理の素,26534,2.05%,8660
中華調味料,17018,1.31%,5299
みりん,16833,1.30%,2555
ポン酢,15740,1.21%,4279
ミックススパイス・混合調味料,14771,1.14%,5562
アジアン・エスニック調味料,8467,0.65%,2477
マヨネーズ,8330,0.64%,2450
韓国調味料,6629,0.51%,2763
ケチャップ,6556,0.51%,2016
ハーブ,6318,0.49%,3045
料理酒,5029,0.39%,982
わさび,4596,0.35%,1622
ラーメンスープ,3906,0.30%,1566
酒粕,3792,0.29%,866
からし・マスタード,3527,0.27%,1615
ラード,2607,0.20%,270
生わさび,1606,0.12%,364
