ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,194972,27.43%,14184
ウコン,63536,8.94%,5364
キノコ・マッシュルーム,50499,7.11%,2182
マカ,48593,6.84%,4787
フコイダン,39785,5.60%,823
サラシア,38435,5.41%,1725
スピルリナ,35444,4.99%,1239
高麗人参,33678,4.74%,1479
ブルーベリー,33466,4.71%,3740
ノコギリヤシ,24173,3.40%,1808
クロレラ,23618,3.32%,1238
イチョウ葉,22840,3.21%,2223
梅肉,19182,2.70%,1546
田七人参,17733,2.50%,992
トンカットアリ,12920,1.82%,882
ニンニク,9348,1.32%,944
チアシード,6676,0.94%,688
アサイー,5302,0.75%,521
フォルスコリ,5212,0.73%,650
プエラリア,4101,0.58%,443
カプサイシン,3474,0.49%,270
マキベリー,3008,0.42%,306
エキナセア,2873,0.40%,450
セントジョーンズワート,2704,0.38%,586
ゴジベリー,2169,0.31%,269
ビーポーレン,1711,0.24%,187
じゃばら,1552,0.22%,256
黒豆,1380,0.19%,95
ガラナ,916,0.13%,106
メシマコブ茸,564,0.08%,19
カムカム,365,0.05%,43
カカオ,358,0.05%,68
バジルシード,86,0.01%,21
