ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,6174,25.12%,1771
山芋・自然薯,3775,15.36%,719
菊芋,3153,12.83%,666
ブロッコリー,1972,8.02%,499
れんこん,1640,6.67%,431
たけのこ,1499,6.10%,250
カリフラワー,1075,4.37%,227
行者にんにく,920,3.74%,160
ゴーヤー,739,3.01%,176
小松菜,658,2.68%,301
明日葉,629,2.56%,119
オクラ,464,1.89%,201
セロリ,408,1.66%,151
銀杏,408,1.66%,138
ピーマン,348,1.42%,222
大葉・しそ,164,0.67%,130
かぶ,163,0.66%,134
エシャロット,113,0.46%,107
ヤーコン,69,0.28%,126
パクチー・コリアンダー,58,0.24%,114
パセリ,56,0.23%,123
春菊,56,0.23%,112
水菜,32,0.13%,93
ルッコラ,5,0.02%,118
