ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,68921,24.47%,29794
その他,23860,8.47%,9989
リボン,23731,8.42%,22062
手芸用テープ,20476,7.27%,14285
ひも,19501,6.92%,11649
ファスナー,17953,6.37%,11753
ボタン,15576,5.53%,15062
ミシン糸,14544,5.16%,7934
レース,12373,4.39%,13932
接着テープ・接着芯,10669,3.79%,4623
持ち手・ハンドル,6740,2.39%,2582
ゴム,5813,2.06%,4271
口金,5344,1.90%,2910
ホック,5260,1.87%,2707
ネームシール,5235,1.86%,1988
芯地,5161,1.83%,1689
面ファスナー,4649,1.65%,1545
型紙・パターン,3524,1.25%,2619
手縫い糸,3067,1.09%,3135
バックル,2752,0.98%,2567
ブレード,2491,0.88%,2140
チェーン,1337,0.47%,1163
裏地,1228,0.44%,581
スパンコール,1015,0.36%,1380
マラボー,248,0.09%,144
肩パット,224,0.08%,187
