ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,100494,47.69%,2079
その他,21373,10.14%,3743
位牌,18878,8.96%,1216
具足・仏具セット,13492,6.40%,1123
りん,12261,5.82%,1358
骨壷,8421,4.00%,1015
仏像,7012,3.33%,485
掛軸,4426,2.10%,619
仏花,3710,1.76%,665
香炉,3333,1.58%,619
経机,3001,1.42%,257
盆提灯,2333,1.11%,285
花立,2196,1.04%,466
線香立,2101,1.00%,759
具足,1323,0.63%,225
香炉灰・香炉石,1176,0.56%,570
仏具用お手入れ用品,1146,0.54%,430
香道具,804,0.38%,223
木魚,747,0.35%,62
経本,722,0.34%,338
骨袋,666,0.32%,240
香立て,528,0.25%,160
線香着火器,326,0.15%,157
水晶玉,248,0.12%,73
