ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,201659,29.64%,12771
サラシア,74081,10.89%,1638
マカ,72705,10.69%,4221
ブルーベリー,54815,8.06%,3343
キノコ・マッシュルーム,44008,6.47%,2308
スピルリナ,37546,5.52%,1135
ウコン,33799,4.97%,4281
ノコギリヤシ,21799,3.20%,1648
高麗人参,17675,2.60%,880
クロレラ,17408,2.56%,1164
イチョウ葉,15460,2.27%,1690
田七人参,13256,1.95%,704
梅肉,11987,1.76%,1307
フコイダン,10283,1.51%,252
フォルスコリ,10134,1.49%,730
ニンニク,6849,1.01%,691
トンカットアリ,5343,0.79%,573
チアシード,5123,0.75%,632
アサイー,4439,0.65%,472
プエラリア,4067,0.60%,477
マキベリー,3264,0.48%,271
セントジョーンズワート,2432,0.36%,532
カプサイシン,2243,0.33%,288
黒豆,2018,0.30%,132
ゴジベリー,1889,0.28%,161
ガラナ,1664,0.24%,130
ビーポーレン,1328,0.20%,177
エキナセア,1166,0.17%,307
カカオ,599,0.09%,120
じゃばら,579,0.09%,172
メシマコブ茸,497,0.07%,86
カムカム,165,0.02%,112
バジルシード,40,0.01%,78
