ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,680188,32.19%,167494
手帳・ノート・紙製品,409161,19.36%,142705
ギフトラッピング用品,115278,5.46%,60728
ファイル・バインダー,109363,5.18%,35009
画材,100229,4.74%,28929
写真整理用品,92452,4.38%,15149
机上収納・整理用品,89880,4.25%,18038
その他,86232,4.08%,24563
ラベル・ステッカー,78788,3.73%,36871
プレゼンテーション用品,66252,3.14%,8519
書道用具,56938,2.69%,12102
はさみ・裁断用品,44869,2.12%,11284
セロハンテープ・のり・接着剤,43055,2.04%,16888
ブックカバー,33666,1.59%,7062
クリップ・結束用具,17448,0.83%,8876
製図用品,16506,0.78%,6848
ホッチキス・穴あきパンチ,12046,0.57%,4751
紙幣計数機・コインカウンタ,10977,0.52%,327
名札,10786,0.51%,3830
マグネットシート,10189,0.48%,1421
マグネット,7850,0.37%,3964
ブックマーク・しおり,3809,0.18%,1779
画鋲・ピン,3759,0.18%,1389
下敷き,3291,0.16%,2274
チェックライター・ナンバーリング,3139,0.15%,325
製本機,3110,0.15%,738
紙めくり・事務用スポンジ,2513,0.12%,1628
タスキ・腕章,792,0.04%,190
レタースケール,460,0.02%,88
