ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,126442,26.65%,15859
スポンジ・たわし・ブラシ,126375,26.63%,15855
モップ,60650,12.78%,5151
雑巾・テーブルダスター,28282,5.96%,5158
ほうき,25238,5.32%,4126
フローリングワックス,20041,4.22%,2577
ガラス・サッシ掃除用具,19761,4.16%,3261
フロアワイパー・ダスター本体,12692,2.67%,4042
使い捨てクロス,12363,2.61%,2085
フロアワイパー・ダスター取替シート,10509,2.21%,1921
粘着式クリーナー,9686,2.04%,2441
バケツ,8860,1.87%,2473
トイレポット,4802,1.01%,0
スプレーボトル,3158,0.67%,1114
はたき,3133,0.66%,691
ちりとり,1723,0.36%,627
モップ絞り器,617,0.13%,161
ラバーカップ,205,0.04%,0
たわし(2002削除),0,0.00%,2150
トイレ用掃除用具(2002削除),0,0.00%,4960
