ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,1455524,21.03%,30605
プロテイン,1404698,20.29%,34239
植物性エキス,708915,10.24%,48704
ビタミン,623692,9.01%,37573
ファイトケミカル,526484,7.61%,14396
アミノ酸,439678,6.35%,22859
ミネラル,302302,4.37%,23801
プロバイオティクス,233889,3.38%,11834
コラーゲン,208321,3.01%,10936
脂肪酸・オイル,198784,2.87%,10964
酵素,180602,2.61%,11277
食物繊維,114488,1.65%,6848
グルコサミン・コンドロイチン,81700,1.18%,4613
動物性エキス,77388,1.12%,4443
プラセンタ,76569,1.11%,4172
ビタミン・ミネラル混合,67633,0.98%,2815
ラクトフェリン,39157,0.57%,1015
クエン酸,36595,0.53%,3242
プロポリス,29615,0.43%,2681
ローヤルゼリー,25662,0.37%,1315
ヒアルロン酸,25511,0.37%,1645
オリゴ糖,23215,0.34%,2198
動植物性混合エキス,20173,0.29%,1206
ミドリムシ,15417,0.22%,884
核酸,5761,0.08%,400
