ジャンル名,売上指数（千円）,シェア,商品ランク入り数
コーヒー,2043579,24.08%,101845
お茶・紅茶,1909534,22.50%,160635
水・炭酸水,1679900,19.80%,30000
炭酸飲料,1014455,11.95%,29806
野菜・果実飲料,882913,10.40%,30000
スポーツドリンク,247257,2.91%,17141
お酢飲料,118228,1.39%,11659
乳酸菌飲料,110165,1.30%,10175
植物性ミルク,104643,1.23%,12840
その他,101404,1.19%,10576
希釈用ドリンク,83670,0.99%,5261
甘酒,70452,0.83%,7697
ゼリー飲料,40397,0.48%,5045
牛乳,26682,0.31%,2707
スムージー,25377,0.30%,1773
ココア・チョコレートドリンク,14570,0.17%,2824
フルーツ入り乳飲料,5110,0.06%,681
生姜湯,5067,0.06%,532
柚子茶,2628,0.03%,181
