ジャンル名,売上指数（千円）,シェア,商品ランク入り数
はさみ,16442,34.31%,5539
カッターナイフ,12668,26.43%,2741
裁断機・ディスクカッター,8023,16.74%,877
カッティングマット,3850,8.03%,919
手動シュレッダー,3258,6.80%,466
レターオープナー・ペーパーナイフ,2506,5.23%,801
その他,710,1.48%,341
カッター替え刃,465,0.97%,271
