ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,141211,46.93%,2603
その他,28236,9.38%,4140
位牌,25309,8.41%,1517
具足・仏具セット,20720,6.89%,1465
りん,19481,6.47%,1580
骨壷,13891,4.62%,1414
仏像,11148,3.71%,581
盆提灯,6509,2.16%,558
掛軸,6138,2.04%,830
経机,4593,1.53%,360
香炉,4298,1.43%,758
花立,4110,1.37%,779
仏花,3425,1.14%,575
線香立,2735,0.91%,952
具足,1929,0.64%,282
香道具,1144,0.38%,324
経本,1049,0.35%,451
香炉灰・香炉石,998,0.33%,525
骨袋,960,0.32%,319
仏具用お手入れ用品,957,0.32%,400
木魚,749,0.25%,167
線香着火器,674,0.22%,225
香立て,397,0.13%,173
水晶玉,224,0.07%,154
