ジャンル名,売上指数（千円）,シェア,商品ランク入り数
油,237160,16.19%,25371
だし,222798,15.21%,23621
酢,107804,7.36%,11333
砂糖・甘味料,106953,7.30%,15038
しお,92776,6.33%,17463
ソース・たれ,91044,6.22%,21781
スパイス,85514,5.84%,25420
しょうゆ,77508,5.29%,19435
ふりかけ,55602,3.80%,12911
セット・詰め合わせ,46276,3.16%,3492
ドレッシング,42897,2.93%,10587
みそ,42683,2.91%,14088
その他,37620,2.57%,8539
めんつゆ,29658,2.02%,7109
料理の素,28675,1.96%,8748
麹,25017,1.71%,3476
ミックススパイス・混合調味料,22040,1.50%,6186
中華調味料,19418,1.33%,5828
みりん,18940,1.29%,2610
ポン酢,13581,0.93%,4162
アジアン・エスニック調味料,9127,0.62%,2435
マヨネーズ,8917,0.61%,2483
韓国調味料,6382,0.44%,2974
料理酒,5655,0.39%,1088
ケチャップ,5317,0.36%,1821
酒粕,5130,0.35%,990
ハーブ,4756,0.32%,2970
わさび,3847,0.26%,1549
ラーメンスープ,3573,0.24%,1310
ラード,3082,0.21%,216
からし・マスタード,3077,0.21%,1565
生わさび,1838,0.13%,387
