ジャンル名,売上指数（千円）,シェア,商品ランク入り数
亜鉛,55727,26.07%,5711
カルシウム,45750,21.40%,4815
鉄,44943,21.03%,4726
マグネシウム,17567,8.22%,2219
その他,14347,6.71%,1396
ケイ素,13868,6.49%,678
マルチミネラル,10431,4.88%,1404
カリウム,8017,3.75%,970
銅,1654,0.77%,98
クロム,711,0.33%,172
ヨウ素,711,0.33%,133
マンガン,8,0.00%,97
