ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,413284,31.63%,10429
入浴剤,206756,15.83%,26580
バスマット,102211,7.82%,10926
整理棚・ラック,87977,6.73%,8855
ソープボトル・シャンプーボトル,84231,6.45%,0
その他,80876,6.19%,12111
椅子,66059,5.06%,5358
風呂ふた,52593,4.03%,3951
自動ソープディスペンサー,47798,3.66%,2206
タオルハンガー,41860,3.20%,5491
ボディタオル,20328,1.56%,6657
洗面器・風呂桶,17772,1.36%,2848
サウナハット,16541,1.27%,943
浴槽・浴室内マット,11525,0.88%,1485
石けんケース・石けん台,10786,0.83%,3002
セット,10233,0.78%,900
バス保温器,9435,0.72%,244
ボディスポンジ,8851,0.68%,2163
ボディブラシ,6452,0.49%,1832
シャワーカーテン,4169,0.32%,0
シャワーヘッドホルダー・シャワーフック,3525,0.27%,689
バスピロー,1190,0.09%,299
バスブーツ,829,0.06%,201
泡立てネット,596,0.05%,292
軽石,593,0.05%,308
バスラジオ(1703削除),0,0.00%,128
ヘアバンド(2002削除),0,0.00%,2426
