ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,479919,28.26%,11103
入浴剤,391148,23.03%,30252
整理棚・ラック,117919,6.94%,10057
ソープボトル・シャンプーボトル,104780,6.17%,9249
バスマット,101373,5.97%,10690
その他,91844,5.41%,11794
風呂ふた,85303,5.02%,5418
椅子,62609,3.69%,4657
自動ソープディスペンサー,59828,3.52%,2114
タオルハンガー,48245,2.84%,5927
バス保温器,29418,1.73%,455
サウナハット,24025,1.41%,1588
ボディタオル,18668,1.10%,5879
洗面器・風呂桶,18120,1.07%,2687
浴槽・浴室内マット,13000,0.77%,1669
石けんケース・石けん台,10133,0.60%,2928
セット,9943,0.59%,851
ボディスポンジ,9172,0.54%,2021
シャワーヘッドホルダー・シャワーフック,5532,0.33%,899
シャワーカーテン,5203,0.31%,1255
ボディブラシ,5200,0.31%,1381
バスピロー,3752,0.22%,509
バスブーツ,1768,0.10%,309
泡立てネット,908,0.05%,358
軽石,683,0.04%,350
