ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,25695,43.97%,1913
ハモ,6903,11.81%,684
ナマコ,4674,8.00%,174
アユ,4086,6.99%,738
カンパチ,2374,4.06%,213
エイ,1945,3.33%,337
サメ,1753,3.00%,147
ノドグロ,1504,2.57%,225
カレイ,1482,2.54%,391
サワラ,1011,1.73%,137
ヒラメ,868,1.48%,149
ニシン,815,1.39%,301
カワハギ,772,1.32%,235
クラゲ,651,1.11%,197
トビウオ,630,1.08%,178
イワナ,554,0.95%,123
アカメ・メヒカリ,396,0.68%,123
キス,334,0.57%,154
マス,319,0.55%,128
コイ,318,0.54%,119
ハタハタ,277,0.47%,159
アンコウ,236,0.40%,141
クエ,224,0.38%,97
タチウオ,172,0.29%,119
カジキ,100,0.17%,124
サヨリ,85,0.15%,87
カマス,68,0.12%,95
スズキ,53,0.09%,87
イサキ,41,0.07%,94
オコゼ,33,0.06%,83
コチ,31,0.05%,84
カサゴ,21,0.04%,80
メバル,11,0.02%,81
アラ,4,0.01%,3
アイナメ,2,0.00%,77
ヤマメ,2,0.00%,76
