ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,28439,13.19%,24987
リボン,25207,11.69%,20751
ひも,19334,8.97%,11537
手芸用テープ,17597,8.16%,12469
その他,17327,8.04%,8300
ファスナー,17017,7.89%,11607
ボタン,15461,7.17%,14869
ミシン糸,11814,5.48%,7262
レース,9609,4.46%,10480
接着テープ・接着芯,9117,4.23%,3985
芯地,4905,2.28%,1555
口金,4701,2.18%,2506
ゴム,4662,2.16%,3514
持ち手・ハンドル,4593,2.13%,1874
ホック,4453,2.07%,2606
面ファスナー,4199,1.95%,1350
型紙・パターン,3386,1.57%,2199
手縫い糸,3366,1.56%,2809
バックル,2381,1.10%,2175
ブレード,2340,1.09%,2166
ネームシール,1753,0.81%,829
スパンコール,1197,0.56%,1464
チェーン,1137,0.53%,902
裏地,1089,0.51%,674
マラボー,280,0.13%,123
肩パット,187,0.09%,123
