ジャンル名,売上指数（千円）,シェア,商品ランク入り数
セット・詰め合わせ,16026,47.06%,1094
水産物加工品,8115,23.83%,1630
フルーツ・果物,3242,9.52%,457
野菜・きのこ,3074,9.03%,1049
惣菜,2344,6.88%,639
肉加工品,1252,3.68%,390
