ジャンル名,売上指数（千円）,シェア,商品ランク入り数
防災セット・非常用持ちだし袋,169450,24.98%,3249
非常食,139364,20.55%,13309
簡易トイレ,65590,9.67%,3327
その他,53194,7.84%,4358
火災警報器・ガス警報器,44584,6.57%,3368
懐中電灯,31446,4.64%,4633
消火器,26131,3.85%,1978
家具転倒防止用品,21584,3.18%,4380
保存水,20902,3.08%,1426
防災ラジオ,16865,2.49%,1048
メガホン・拡声器,13839,2.04%,1084
携帯用浄水器,11774,1.74%,539
応急手当用品,11063,1.63%,1293
土嚢,9556,1.41%,775
防災ヘルメット,7793,1.15%,828
携帯トイレ,7179,1.06%,1168
給水用品,7004,1.03%,1207
避難はしご,4748,0.70%,403
簡易毛布・寝袋,3935,0.58%,957
固形燃料,3078,0.45%,496
ガソリン缶,2313,0.34%,348
笛・ホイッスル,1728,0.25%,680
担架,1545,0.23%,175
放射能測定器・ガイガーカウンター,1279,0.19%,148
防災頭巾,1069,0.16%,285
発熱・加熱剤,899,0.13%,328
防災用ストーブ,387,0.06%,95
