ジャンル名,売上指数（千円）,シェア,商品ランク入り数
山芋・自然薯,10873,29.07%,1306
その他,9105,24.34%,2147
ブロッコリー,2768,7.40%,564
菊芋,2596,6.94%,532
れんこん,2429,6.49%,567
銀杏,1881,5.03%,252
カリフラワー,1130,3.02%,235
ゴーヤー,1084,2.90%,233
小松菜,963,2.57%,354
たけのこ,818,2.19%,254
明日葉,774,2.07%,127
オクラ,561,1.50%,232
かぶ,496,1.33%,195
セロリ,474,1.27%,167
ピーマン,349,0.93%,224
ヤーコン,330,0.88%,112
大葉・しそ,215,0.57%,156
春菊,140,0.37%,147
行者にんにく,131,0.35%,130
エシャロット,120,0.32%,134
パセリ,76,0.20%,120
パクチー・コリアンダー,56,0.15%,103
水菜,29,0.08%,123
ルッコラ,8,0.02%,126
