ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ブドウ,268516,25.42%,12555
桃,171352,16.22%,9776
和梨,120571,11.41%,7689
セット・詰め合わせ,86382,8.18%,4958
メロン,83396,7.89%,4995
スイカ,55739,5.28%,3824
みかん,41674,3.95%,4123
りんご,40436,3.83%,3769
マンゴー,34000,3.22%,2448
その他,18008,1.70%,2855
柿,17011,1.61%,1564
レモン,16371,1.55%,2104
イチジク,15588,1.48%,959
ブルーベリー,14262,1.35%,1271
栗,10291,0.97%,1234
プラム,8743,0.83%,882
いちご,7665,0.73%,1237
パイナップル,5962,0.56%,849
洋梨,5548,0.53%,561
梅,4782,0.45%,805
すだち,3450,0.33%,534
キウイフルーツ,2658,0.25%,516
バナナ,2594,0.25%,573
グレープフルーツ,2456,0.23%,354
パッションフルーツ,2408,0.23%,193
さくらんぼ,2246,0.21%,221
ライチ,2110,0.20%,187
ザクロ,2094,0.20%,190
かぼす,1982,0.19%,350
オレンジ,1890,0.18%,344
ドリアン,1562,0.15%,175
ドラゴンフルーツ,1147,0.11%,218
パパイヤ,824,0.08%,197
アボカド,758,0.07%,212
ゆず,607,0.06%,153
びわ,568,0.05%,159
あんず,460,0.04%,160
じゃばら,190,0.02%,160
ミラクルフルーツ,26,0.00%,93
マンゴスチン,0,0.00%,93
