ジャンル名,売上指数（千円）,シェア,商品ランク入り数
洗濯用洗剤・柔軟剤,1327569,65.69%,73483
キッチン用洗剤,175128,8.67%,24728
除菌剤,171067,8.46%,16502
マルチクリーナー,75186,3.72%,12051
その他,71269,3.53%,8216
浴室・浴槽洗剤,62297,3.08%,11422
カビ取り剤,47629,2.36%,5958
トイレ用洗剤,40197,1.99%,12103
排水口・パイプクリーナー,23085,1.14%,4044
キッチン用漂白剤,16163,0.80%,2998
床用・カーペット用洗剤,6063,0.30%,738
さび落とし・金属磨き剤,2846,0.14%,701
ガラス・サッシ用洗剤,1852,0.09%,368
家具・木製品用洗剤,585,0.03%,145
