ジャンル名,売上指数（千円）,シェア,商品ランク入り数
白米,2144794,59.10%,30080
玄米,486673,13.41%,12447
餅,249482,6.87%,17978
ご飯パック,225160,6.20%,10249
雑穀・雑穀米,171414,4.72%,10241
もち米,81695,2.25%,3584
麦,57371,1.58%,4372
もち麦,57290,1.58%,3561
セット・詰め合わせ,55676,1.53%,3060
発芽玄米,52973,1.46%,1966
その他,36558,1.01%,4674
ジャスミンライス,9950,0.27%,553
