ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,63245,68.25%,29535
チャーム,21555,23.26%,21717
チェーン,4878,5.26%,3337
石座・ミール皿・フレーム,2783,3.00%,3155
プラ板,205,0.22%,205
