ジャンル名,売上指数（千円）,シェア,商品ランク入り数
カニ,6481293,58.78%,28584
魚卵,896962,8.13%,30129
貝類,784431,7.11%,25745
加工品,409936,3.72%,33708
セット・詰め合わせ,403977,3.66%,17037
エビ,323963,2.94%,14641
フグ,321569,2.92%,6872
サバ,258134,2.34%,4445
マグロ,244467,2.22%,9167
サケ,227766,2.07%,13491
イカ,126866,1.15%,13099
ウニ,111309,1.01%,3775
その他水産物,99732,0.90%,11243
ブリ,75403,0.68%,2249
海藻類,62846,0.57%,11146
タイ,39835,0.36%,3756
カツオ,30258,0.27%,2351
その他,29240,0.27%,2746
ホッケ,28690,0.26%,1509
タコ,20417,0.19%,3318
アジ,16324,0.15%,1564
イワシ,10212,0.09%,2860
タラ,9826,0.09%,1562
サンマ,5059,0.05%,499
シシャモ,4956,0.04%,568
生ちりめん・生しらす,3528,0.03%,574
