ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,107839,43.55%,2376
その他,27794,11.23%,4260
位牌,23049,9.31%,1480
りん,16895,6.82%,1552
具足・仏具セット,16396,6.62%,1313
骨壷,11910,4.81%,1282
仏像,8328,3.36%,509
掛軸,5616,2.27%,778
盆提灯,4550,1.84%,507
香炉,4018,1.62%,739
経机,3490,1.41%,331
花立,3159,1.28%,639
線香立,3005,1.21%,1071
仏花,2527,1.02%,539
具足,1966,0.79%,284
香道具,1218,0.49%,321
香炉灰・香炉石,1185,0.48%,567
経本,1097,0.44%,477
骨袋,1040,0.42%,332
仏具用お手入れ用品,872,0.35%,351
木魚,647,0.26%,63
線香着火器,495,0.20%,218
香立て,434,0.18%,154
水晶玉,76,0.03%,28
